dataset_source,scale,engine,approach,schema,collection,repeat,n_queries,mean_latency_ms,p95_latency_ms,throughput_qps,cpu_percent,storage_mb,ciphertext_expansion_factor,recovery_accuracy,recovery_accuracy_filtered,linkage_recovery_accuracy,n_unique_tokens,decoy_target_ratio
excel,1000,mongo,C,multi,lab_orders,2,5000,1.6419977000019572,2.775229998769646,586.4094427776317,38.8,1.3739862442016602,13.539413588948408,0.3984,0.4048,,97,0.5
excel,1000,mongo,C,multi,billing,0,5000,3.201265339951351,4.132315000424569,304.7711112876561,38.3,0.3113002777099609,3.6153420166578063,1.0,1.0,,4,0.5
excel,1000,mongo,C,multi,billing,1,5000,3.233704579998448,4.047229999378033,301.80450482821385,39.9,0.3113002777099609,3.6153420166578063,1.0,1.0,,4,0.5
excel,1000,mongo,C,multi,billing,2,5000,3.067362980000325,3.8763499995184256,318.7336269324361,33.3,0.3113002777099609,3.6153420166578063,1.0,1.0,,4,0.5
excel,1000,mongo,C,multi,patients,0,5000,4.015814019976824,4.84593499913899,244.4568193918435,28.9,0.7303266525268555,9.355147265419808,0.9158,0.8814,,5,0.75
excel,1000,mongo,C,multi,patients,1,5000,3.998842399985733,4.9131999983728765,245.429584507193,29.9,0.7303266525268555,9.355147265419808,0.9158,0.8814,,5,0.75
excel,1000,mongo,C,multi,patients,2,5000,4.036166699999012,4.995350000717736,243.1274246976421,30.6,0.7303266525268555,9.355147265419808,0.9158,0.8814,,5,0.75
excel,1000,mongo,C,multi,lab_orders,0,5000,1.625604600020597,2.576750000480388,594.8870339861987,29.4,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,multi,lab_orders,1,5000,1.6145036999791045,2.5867200003631297,598.8985058680323,29.3,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,multi,lab_orders,2,5000,1.6174269000403,2.602670001215302,597.5296213357382,29.8,1.99580192565918,19.66685461892679,0.3288,0.4188,,97,0.75
excel,1000,mongo,C,multi,billing,0,5000,3.079990879994148,3.773610001371708,317.90222173281774,29.1,0.3546962738037109,4.119329257487152,1.0,1.0,,4,0.75
excel,1000,mongo,C,multi,billing,1,5000,3.092154900008609,3.732070001024113,316.69938034022687,29.5,0.3546962738037109,4.119329257487152,1.0,1.0,,4,0.75
excel,1000,mongo,C,multi,billing,2,5000,3.083834920000663,3.779524999481511,317.3585430942792,30.3,0.3546962738037109,4.119329257487152,1.0,1.0,,4,0.75
excel,1000,mongo,C,multi,patients,0,5000,4.072961059981026,4.913650000708004,241.0916002751161,28.2,0.9046802520751952,11.588536385736449,0.018,0.8814,,5,1.0
excel,1000,mongo,C,multi,patients,1,5000,4.148858280069544,5.091235000509187,236.65111075300345,30.5,0.9046802520751952,11.588536385736449,0.018,0.8814,,5,1.0
excel,1000,mongo,C,multi,patients,2,5000,4.14324785998906,5.066704998171191,237.01562627431636,29.2,0.9046802520751952,11.588536385736449,0.018,0.8814,,5,1.0
excel,1000,mongo,C,multi,lab_orders,0,5000,2.4359912600288225,2.8620850011066072,400.3450942685534,32.7,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,C,multi,lab_orders,1,5000,2.445027419978578,2.863115001491679,399.07923162619016,29.7,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,C,multi,lab_orders,2,5000,2.4459316999847944,2.864030001910578,398.9597523417525,29.7,2.6189098358154297,25.80702941452871,0.0,0.3352,,97,1.0
excel,1000,mongo,C,multi,billing,0,5000,3.210925580014009,3.8628700001936527,305.0576682236231,28.9,0.4243659973144531,4.928451178451178,0.3124,0.3124,,4,1.0
excel,1000,mongo,C,multi,billing,1,5000,3.216334579991235,3.8811199976407806,304.5753157739486,29.2,0.4243659973144531,4.928451178451178,0.3124,0.3124,,4,1.0
excel,1000,mongo,C,multi,billing,2,5000,3.28438667997616,3.964360001009482,298.11359144991627,31.0,0.4243659973144531,4.928451178451178,0.3124,0.3124,,4,1.0
excel,1000,mongo,C,multi,linkage,0,0,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0,
excel,1000,mongo,D,multi,patients,0,5000,3.99919494001806,4.947095001261914,245.44744448149453,29.7,0.5557031631469727,7.118300980955057,0.8814,0.8814,,5,0.5
excel,1000,mongo,D,multi,patients,1,5000,3.993599319930945,4.9573999969652505,245.82874950802824,28.9,0.5557031631469727,7.118300980955057,0.8814,0.8814,,5,0.5
excel,1000,mongo,D,multi,patients,2,5000,4.009932339999068,5.010374999437772,244.86457644613608,29.2,0.5557031631469727,7.118300980955057,0.8814,0.8814,,5,0.5
excel,1000,mongo,D,multi,lab_orders,0,5000,1.5533653400314509,2.555999999458436,622.3530546643157,27.8,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,multi,lab_orders,1,5000,1.5408986600217758,2.560124997944513,626.7667300584751,29.3,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,multi,lab_orders,2,5000,1.5487346399604576,2.579324998805532,623.3557900164516,31.4,1.3715581893920898,13.515487266234375,0.3984,0.3984,,97,0.5
excel,1000,mongo,D,multi,billing,0,5000,3.001770639994356,3.652719997626264,326.10363530485165,28.7,0.3111763000488281,3.6139021796916535,1.0,1.0,,4,0.5
excel,1000,mongo,D,multi,billing,1,5000,3.049735559999681,3.7258200016367495,320.99127240773777,30.1,0.3111763000488281,3.6139021796916535,1.0,1.0,,4,0.5
excel,1000,mongo,D,multi,billing,2,5000,2.9986605399994004,3.6396349996721256,326.4724942777788,29.1,0.3111763000488281,3.6139021796916535,1.0,1.0,,4,0.5
excel,1000,mongo,D,multi,patients,0,5000,3.9688498600364257,4.819430000861757,247.2503596565863,30.5,0.7309122085571289,9.362647967847153,0.9158,0.9158,,5,0.75
excel,1000,mongo,D,multi,patients,1,5000,4.021662299986201,5.018304999794055,244.00802903537212,30.3,0.7309122085571289,9.362647967847153,0.9158,0.9158,,5,0.75
excel,1000,mongo,D,multi,patients,2,5000,3.991446179986815,4.9184350016730605,245.8779084983904,30.6,0.7309122085571289,9.362647967847153,0.9158,0.9158,,5,0.75
